GC	overallBiases	overallSkews	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost	aaAvgCost_Aer_Het	aaAvgCost_An_Het	aaAvgCost_Aer_Phot	aaAvgCost_An_Phot
10.500002	90	0.8	0.87282455	0.81512254	0.7847526	0.7500085	0.80383176	0.7755201	27.425112	31.015942	10.56682	31.036623	10.589362
10.600002	10	-0.8	-0.7989225	-0.7924578	-0.8354261	-0.83227646	-0.79989815	-0.80016947	42.212444	50.088116	8.457824	51.40999	10.954407
10.600002	15	-0.7	-0.6977415	-0.68114734	-0.7718751	-0.7755544	-0.6963837	-0.70249134	40.68531	48.3321	8.4389105	49.530434	10.637224
10.600002	20	-0.6	-0.59497976	-0.57215166	-0.7109525	-0.71603847	-0.5970464	-0.6117911	39.161663	46.556934	8.431878	47.635303	10.352862
10.600002	25	-0.5	-0.48798805	-0.46041787	-0.6576746	-0.6643724	-0.50218314	-0.49016738	37.731697	44.8782	8.458667	45.845333	10.1292715
10.600002	30	-0.4	-0.3800978	-0.34756446	-0.60050434	-0.6108047	-0.40276477	-0.40882614	36.3368	43.20816	8.501222	44.06911	9.943392
10.600002	35	-0.3	-0.27045757	-0.24206579	-0.5402279	-0.55766374	-0.30029652	-0.28822985	34.962032	41.55278	8.555673	42.310745	9.786339
10.600002	40	-0.2	-0.15864477	-0.13441691	-0.471736	-0.49281856	-0.198682	-0.19842608	33.683933	39.982273	8.629091	40.64493	9.66956
10.600002	45	-0.1	-0.046710346	-0.029611522	-0.38877755	-0.4212973	-0.10344125	-0.11257792	32.44693	38.43851	8.738504	39.00595	9.600702
10.600002	50	0.0	0.0667558	0.07409349	-0.29692107	-0.3368194	0.008742583	-0.01897611	31.308733	36.99255	8.866149	37.471977	9.570678
10.600002	55	0.1	0.18129541	0.17213494	-0.19093002	-0.23205934	0.10014398	0.101932436	30.24577	35.615604	9.014019	36.01127	9.575207
10.600002	60	0.2	0.2945124	0.2691208	-0.067197114	-0.12961908	0.19614309	0.23074396	29.322163	34.378677	9.182523	34.69717	9.617898
10.600002	65	0.3	0.4044628	0.36696643	0.06892796	-0.004941056	0.30224422	0.29563168	28.512114	33.261852	9.380079	33.507317	9.704363
10.600002	70	0.4	0.5111354	0.45761403	0.21340513	0.14195482	0.39748478	0.39142975	27.896454	32.349724	9.601648	32.53172	9.832971
10.600002	75	0.5	0.61225516	0.54875183	0.3640766	0.29054105	0.4975412	0.51538646	27.488033	31.680986	9.832344	31.80881	9.989173
